Japanese Name,English Name,Chat Command,Reboot Human,Reboot Human Hash,Reboot Cast Male,Reboot Cast Male Hash,Reboot Cast Female,Reboot Cast Female Hash,Reboot Fig,Reboot Fig Hash,Reboot VFX,Reboot VFX Hash,Gender (Blank usually follows previous)
料理する２,Cook 2,,character/motion/lobby_action/pl_la_955_955cook_f_hsi3_std.ice,c5\7a2b027ed38fc79a0df8fd4e1ff063,character/motion/lobby_action/pl_la_955_955cook_f_hsi3_cam.ice,79\687d3044cdee38680c93d0acdccffa,character/motion/lobby_action/pl_la_955_955cook_f_hsi3_caf.ice,85\c3aa82c989f1c3ab04c55af7a1d100,character/motion/lobby_action/pl_la_955_955cook_f_hsi3_base.ice,06\772bda6290f384bb8ec2d8df7334a0,character/motion/lobby_action/pl_la_955_955cook_f_vfx.ice,e0\bcf42c0a3cbb884afa8f267ad1be7f,
頑張るゾ,Fired Up,fireup,character/motion/lobby_action/pl_la_465_465kobushi_m_std.ice,c6\7da3a1aa0bdea9f042e4212f0a2d4f,character/motion/lobby_action/pl_la_465_465kobushi_m_cam.ice,c2\c328a43688d00ed34031e4d04ad606,character/motion/lobby_action/pl_la_465_465kobushi_m_caf.ice,66\c6a1394fbeab8b2a58879e09c5d938,character/motion/lobby_action/pl_la_465_465kobushi_m_base.ice,bd\2d3643330b006f4e238a82e249a994,character/motion/lobby_action/,,
頑張るゾ,Fired Up,,character/motion/lobby_action/pl_la_465_465kobushi_m_hsi1_std.ice,42\62e1f9c445c78e270dea4f0df7179a,character/motion/lobby_action/pl_la_465_465kobushi_m_hsi1_cam.ice,99\e6d3505aab7b6e49ee7cca54f13d15,character/motion/lobby_action/pl_la_465_465kobushi_m_hsi1_caf.ice,73\b3447e936da3e747d7a53fad812cfa,character/motion/lobby_action/pl_la_465_465kobushi_m_hsi1_base.ice,2e\b004d82f7f0284358df240d5e530d3,character/motion/lobby_action/,,
頑張るゾ,Fired Up,,character/motion/lobby_action/pl_la_465_465kobushi_f_std.ice,5a\0730840a9ac589368411311dad2861,character/motion/lobby_action/pl_la_465_465kobushi_f_cam.ice,dc\519ad5368e76cc84827f0cb0a9aafa,character/motion/lobby_action/pl_la_465_465kobushi_f_caf.ice,bd\66d42650d51d70408b54eef350575f,character/motion/lobby_action/pl_la_465_465kobushi_f_base.ice,a8\b2c1ff2c750080f87bcc5cc63958d8,character/motion/lobby_action/,,
頑張るゾ,Fired Up,,character/motion/lobby_action/pl_la_465_465kobushi_f_hsi1_std.ice,20\91fe7a35923c612ce8a8172b012d1e,character/motion/lobby_action/pl_la_465_465kobushi_f_hsi1_cam.ice,bb\a07a065a306b43c05b91f0f3827e3d,character/motion/lobby_action/pl_la_465_465kobushi_f_hsi1_caf.ice,85\00a402e96a3a1c6a1e81ba0a754f11,character/motion/lobby_action/pl_la_465_465kobushi_f_hsi1_base.ice,d9\d97314b0ad967e004065288aecdfcc,character/motion/lobby_action/,,
吊るされる２,Suspended 2,hang2,character/motion/lobby_action/pl_la_2017_2017hang_m_std.ice,e4\70e5f39036b49e29205873ac071574,character/motion/lobby_action/pl_la_2017_2017hang_m_cam.ice,81\ad1fb734894d7d69a099ec2cc34737,character/motion/lobby_action/pl_la_2017_2017hang_m_caf.ice,bb\269147dea5b3207463a27d584f86c2,character/motion/lobby_action/pl_la_2017_2017hang_m_base.ice,b6\9ee60d4851d8e2bfdd78585412804e,character/motion/lobby_action/pl_la_2017_2017hang_f_vfx.ice,8d\3eda54437e8e7150be1e6ac1f2252f,
吊るされる２,Suspended 2,,character/motion/lobby_action/pl_la_2017_2017hang_f_std.ice,00\f1604dabcc07142476c85e76023edd,character/motion/lobby_action/pl_la_2017_2017hang_f_cam.ice,7c\db06e83d93daf1957acdea0c08798a,character/motion/lobby_action/pl_la_2017_2017hang_f_caf.ice,1c\ae5c74c4feb1d41792a1ac09a99631,character/motion/lobby_action/pl_la_2017_2017hang_f_base.ice,dd\4186903e85f98b7af18d0679e20d79,character/motion/lobby_action/pl_la_2017_2017hang_f_vfx.ice,8d\3eda54437e8e7150be1e6ac1f2252f,
この指とまれ,Wait a Minute,indexpose,character/motion/lobby_action/pl_la_920_920yubipose_m_std.ice,a8\904e566b9f768d97e1db8bc620bc1c,character/motion/lobby_action/pl_la_920_920yubipose_m_cam.ice,af\cd272c2ff8ce48be216de5eae05a45,character/motion/lobby_action/pl_la_920_920yubipose_m_caf.ice,7b\77b072c29716f03669d4a23db94dc0,character/motion/lobby_action/pl_la_920_920yubipose_m_base.ice,ab\2dffe9e88b64dec0f20275e7f38685,character/motion/lobby_action/,,
この指とまれ,Wait a Minute,,character/motion/lobby_action/pl_la_920_920yubipose_m_hsi1_std.ice,63\b16dc35605404b2f37b732383babd7,character/motion/lobby_action/pl_la_920_920yubipose_m_hsi1_cam.ice,6b\db0d3e75e4d024cf53ee978dd884b9,character/motion/lobby_action/pl_la_920_920yubipose_m_hsi1_caf.ice,9c\0c99d3f35552b226b634f5cb562c19,character/motion/lobby_action/pl_la_920_920yubipose_m_hsi1_base.ice,77\e9188c4eb1f5745b7614fa2472e2ed,character/motion/lobby_action/,,
この指とまれ,Wait a Minute,,character/motion/lobby_action/pl_la_920_920yubipose_f_std.ice,df\40362f200c679a9fb76ee176ebcfd2,character/motion/lobby_action/pl_la_920_920yubipose_f_cam.ice,32\dc8d66ceef983e25a6bdc0663393a8,character/motion/lobby_action/pl_la_920_920yubipose_f_caf.ice,44\958aadc053518428e15cda78508efd,character/motion/lobby_action/pl_la_920_920yubipose_f_base.ice,eb\4fe6a67787a1fb165801bb2393e3a1,character/motion/lobby_action/,,
この指とまれ,Wait a Minute,,character/motion/lobby_action/pl_la_920_920yubipose_f_hsi1_std.ice,0a\d62af1b86d0896c107f2f8ee7960c4,character/motion/lobby_action/pl_la_920_920yubipose_f_hsi1_cam.ice,fc\d91ba918f6c91f89be5c9138a591d5,character/motion/lobby_action/pl_la_920_920yubipose_f_hsi1_caf.ice,f4\43021a65a72966a41102c14a5bdef9,character/motion/lobby_action/pl_la_920_920yubipose_f_hsi1_base.ice,1c\d1623275f4d8ac7bd070e5e165b460,character/motion/lobby_action/,,
ダンス６３,Dance 63,dance63,character/motion/lobby_action/pl_la_2105_2105dance_m_std.ice,dd\c1a0fda85944b372b25eba17488347,character/motion/lobby_action/pl_la_2105_2105dance_m_cam.ice,68\ea9e7e44400670508b8c8c4885bed7,character/motion/lobby_action/pl_la_2105_2105dance_m_caf.ice,eb\415e6d188b9abd78c12af3e39604fe,character/motion/lobby_action/pl_la_2105_2105dance_m_base.ice,0a\a4183694576a3b50026df795ae0b10,character/motion/lobby_action/,,
ダンス６３,Dance 63,,character/motion/lobby_action/pl_la_2105_2105dance_f_std.ice,85\e761c3d7ba7d6bf95133f56d9b76d5,character/motion/lobby_action/pl_la_2105_2105dance_f_cam.ice,2a\df90e8279f639eb37a191c42baa6bf,character/motion/lobby_action/pl_la_2105_2105dance_f_caf.ice,44\8ba2964d67330639593c2be2eb2808,character/motion/lobby_action/pl_la_2105_2105dance_f_base.ice,18\4833a196fc59db397f1218265c4dd3,character/motion/lobby_action/,,
しゃがむ４,Crouch 4,crouch4,character/motion/lobby_action/pl_la_2006_2006syagamu_m_std.ice,1f\3f413f6d7547d82155a062a2d0b521,character/motion/lobby_action/pl_la_2006_2006syagamu_m_cam.ice,24\dd63d72cb21cd4814542d10e9d9b6e,character/motion/lobby_action/pl_la_2006_2006syagamu_m_caf.ice,ab\6b6707ee7537b8ff217f8f0b495389,character/motion/lobby_action/pl_la_2006_2006syagamu_m_base.ice,2c\da61559fef32566cfed22f3b4747b5,character/motion/lobby_action/,,
しゃがむ４,Crouch 4,,character/motion/lobby_action/pl_la_2006_2006syagamu_m_hsi1_std.ice,e0\6193e7e0ae7ffd79703b908bfc47f7,character/motion/lobby_action/pl_la_2006_2006syagamu_m_hsi1_cam.ice,da\11590ecc1db3504bff8485192cb9d6,character/motion/lobby_action/pl_la_2006_2006syagamu_m_hsi1_caf.ice,c6\c7ae65bbd7d6982d9b64f2ea8d6342,character/motion/lobby_action/pl_la_2006_2006syagamu_m_hsi1_base.ice,0b\aa73064108d7a583340d6e92cc40a8,character/motion/lobby_action/,,
しゃがむ４,Crouch 4,,character/motion/lobby_action/pl_la_2006_2006syagamu_f_std.ice,eb\5ace52627536b473506dfc8f498b05,character/motion/lobby_action/pl_la_2006_2006syagamu_f_cam.ice,a7\81cc17c8418e9aabedc2de6376246d,character/motion/lobby_action/pl_la_2006_2006syagamu_f_caf.ice,37\c5236bf89371a75a590254b58c6283,character/motion/lobby_action/pl_la_2006_2006syagamu_f_base.ice,37\1095402d9313301d9dfc2d37b1e132,character/motion/lobby_action/,,
しゃがむ４,Crouch 4,,character/motion/lobby_action/pl_la_2006_2006syagamu_f_hsi1_std.ice,2c\3c764fc7bedbcb2f912cf1ca5d9907,character/motion/lobby_action/pl_la_2006_2006syagamu_f_hsi1_cam.ice,f0\34df44415fcbd52e7d1864dbfd6fa7,character/motion/lobby_action/pl_la_2006_2006syagamu_f_hsi1_caf.ice,f9\374c7b38887e3cbcd1883c9ad5e59c,character/motion/lobby_action/pl_la_2006_2006syagamu_f_hsi1_base.ice,e1\54bd24e1e3e83741428923a95fbf20,character/motion/lobby_action/,,
焼き芋,Sweet Potato,sweetpotato,character/motion/lobby_action/pl_la_320_yakiimo_m_std.ice,51\a3221d4a63c7d5e77bba8f22b0f5bb,character/motion/lobby_action/pl_la_320_yakiimo_m_cam.ice,35\1beef9ccbe49a1186b1afbbd7ce8bf,character/motion/lobby_action/pl_la_320_yakiimo_m_caf.ice,c1\d15e0e614179e4eef26aba9bd4aa1b,character/motion/lobby_action/pl_la_320_yakiimo_m_base.ice,7f\8378a4380c1a5aff1101d4c292c70e,character/motion/lobby_action/pl_la_320_yakiimo_m_vfx.ice,f8\f203013e24ca7e82b270e5c68c6158,
焼き芋,Sweet Potato,,character/motion/lobby_action/pl_la_320_yakiimo_f_std.ice,86\9936418bf6eec3961c3636e4b5e673,character/motion/lobby_action/pl_la_320_yakiimo_f_cam.ice,ee\b25bc5aa9c9425fec0451a9549fc3b,character/motion/lobby_action/pl_la_320_yakiimo_f_caf.ice,4a\22656df2ad32808d96c1546ec580a1,character/motion/lobby_action/pl_la_320_yakiimo_f_base.ice,33\347621552005c5a3ec56bd8223b100,character/motion/lobby_action/pl_la_320_yakiimo_f_vfx.ice,66\ef403fa41084ebd8132b4723bcc221,
手に負えない,I Give Up,uncontrollable,character/motion/lobby_action/pl_la_2010_oteage_m_std.ice,68\8beb096332d91268655f540d87adab,character/motion/lobby_action/pl_la_2010_oteage_m_cam.ice,f9\12c406284526b4775b2723f3d3b0a8,character/motion/lobby_action/pl_la_2010_oteage_m_caf.ice,08\3e3bce9083f7902de8d85d3b4a36f4,character/motion/lobby_action/pl_la_2010_oteage_m_base.ice,d7\83504fec74676c083fd627db9bfc2d,character/motion/lobby_action/,,
手に負えない,I Give Up,,character/motion/lobby_action/pl_la_2010_oteage_f_std.ice,3b\6fdbdb0b50323a34c79dcb1bb5f694,character/motion/lobby_action/pl_la_2010_oteage_f_cam.ice,e1\89eeefb70df7917800a2db46c4edbd,character/motion/lobby_action/pl_la_2010_oteage_f_caf.ice,1a\e47192b2d5943be9cd20e23ed49af8,character/motion/lobby_action/pl_la_2010_oteage_f_base.ice,85\40e2723969f4619b1c9f9a7db2ad46,character/motion/lobby_action/,,
『ＮＧＳ』ポーズ,NGS Pose,NGSpose,character/motion/lobby_action/pl_la_2128_prologue_m_std.ice,37\373bf0b61b2b5326244d5606726347,character/motion/lobby_action/pl_la_2128_prologue_m_cam.ice,21\c43ce8ccade08d8bc6f68be4d37860,character/motion/lobby_action/pl_la_2128_prologue_m_caf.ice,40\ee86dd6f08d6fd18bba26fc9e7e7a7,character/motion/lobby_action/pl_la_2128_prologue_m_base.ice,af\00a2b43a34da2abc72e8bc4700413e,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_m_pre_std.ice,,character/motion/lobby_action/pl_la_2128_prologue_m_pre_cam.ice,,character/motion/lobby_action/pl_la_2128_prologue_m_pre_caf.ice,,character/motion/lobby_action/pl_la_2128_prologue_m_pre_base.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_std.ice,d4\09db3c04b4d86c2db53bc583575cbe,character/motion/lobby_action/pl_la_2128_prologue_f_cam.ice,da\bcbefb8df50034c5b747b470166d4a,character/motion/lobby_action/pl_la_2128_prologue_f_caf.ice,41\4c0b666659a4a7e4a10d1e3bcca1cb,character/motion/lobby_action/pl_la_2128_prologue_f_base.ice,c2\7b56e165cee05fa4f507b306c86116,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_pre_std.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_pre_cam.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_pre_caf.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_pre_base.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_std.ice,b8\8d1b93b36569fb76ea8b96adfe7a72,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_cam.ice,3d\68ff4fed82a1bec8a1af20db4df28a,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_caf.ice,dd\73b23bad07d8a23dec809045800b22,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_base.ice,c4\c4b1e847d00cf0f6c9c8988e2188e3,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_pre_std.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_pre_cam.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_pre_caf.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi1_pre_base.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_std.ice,ee\2f6de0d5f58ca1da06a0ddbf240b7c,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_cam.ice,4a\9eaa2f503fa9ff66c48ffe42da0857,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_caf.ice,e2\e003d2c43ffe47ebfe53f8e7c2cccd,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_base.ice,bc\b2e45b39aa769990ce69aff1ee0267,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
『ＮＧＳ』ポーズ,NGS Pose,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_pre_std.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_pre_cam.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_pre_caf.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_hsi2_pre_base.ice,,character/motion/lobby_action/pl_la_2128_prologue_f_vfx.ice,0c\82d5b914ee4266b9c43d428ec5d701,
ＮＯ　ＢＯＲＤＥＲ．,No Border.,noborder.,character/motion/lobby_action/pl_la_2129_fingerdance_m_std.ice,d8\dd3d4c0b0b55085675d213acb110ae,character/motion/lobby_action/pl_la_2129_fingerdance_m_cam.ice,8b\31144a5adde7bfa86376393ae1e75c,character/motion/lobby_action/pl_la_2129_fingerdance_m_caf.ice,2b\83b26c833b7cf0168d4093c346da82,character/motion/lobby_action/pl_la_2129_fingerdance_m_base.ice,f1\b776aef81323e471e3e846f31ddbe4,character/motion/lobby_action/,,
ＮＯ　ＢＯＲＤＥＲ．,No Border.,,character/motion/lobby_action/pl_la_2129_fingerdance_m_hsi1_std.ice,ce\bc6605cc35587bde14ee79d57a46a4,character/motion/lobby_action/pl_la_2129_fingerdance_m_hsi1_cam.ice,a2\a44ad83b0ac7fffe33b25790df3047,character/motion/lobby_action/pl_la_2129_fingerdance_m_hsi1_caf.ice,da\072d22487a7fb7cf75fe9407055ca8,character/motion/lobby_action/pl_la_2129_fingerdance_m_hsi1_base.ice,15\f5e6277b0c47ac2d27d7742b65edcd,character/motion/lobby_action/,,
ＮＯ　ＢＯＲＤＥＲ．,No Border.,,character/motion/lobby_action/pl_la_2129_fingerdance_f_std.ice,b7\5bf05aeefe2c0cf31715c5fe6ac5d1,character/motion/lobby_action/pl_la_2129_fingerdance_f_cam.ice,71\6f93cf07270e9bcdd2864d8f018b1d,character/motion/lobby_action/pl_la_2129_fingerdance_f_caf.ice,09\19a4efec5e8a0e23bbd549e30f87b8,character/motion/lobby_action/pl_la_2129_fingerdance_f_base.ice,e8\a54875852e3f6dbfb8ef98e404763e,character/motion/lobby_action/,,
ＮＯ　ＢＯＲＤＥＲ．,No Border.,,character/motion/lobby_action/pl_la_2129_fingerdance_f_hsi1_std.ice,50\6a31c19b61784fc229dc19fb8242ae,character/motion/lobby_action/pl_la_2129_fingerdance_f_hsi1_cam.ice,d5\b93135facced86790383803fcf3176,character/motion/lobby_action/pl_la_2129_fingerdance_f_hsi1_caf.ice,84\3484848034c83c12f57f1958502f56,character/motion/lobby_action/pl_la_2129_fingerdance_f_hsi1_base.ice,77\0a4a17532ea30f4b1bae319ee1cc79,character/motion/lobby_action/,,
囚われの身,Captured,subject,character/motion/lobby_action/pl_la_2014_subject_m_std.ice,2c\a5148502edd8cfc78eceaebdd557c1,character/motion/lobby_action/pl_la_2014_subject_m_cam.ice,55\b43961324bfb6e80f5c202db4a3f34,character/motion/lobby_action/pl_la_2014_subject_m_caf.ice,ee\48c10dfa059a3e207be9923a8d8f5a,character/motion/lobby_action/pl_la_2014_subject_m_base.ice,a0\f63d0d89615f23de754ca5ec87dc31,character/motion/lobby_action/pl_la_2014_subject_f_vfx.ice,fc\91eb0049b8859bf21ba4d9c86a192a,
囚われの身,Captured,,character/motion/lobby_action/pl_la_2014_subject_f_std.ice,b4\8c90a7694e50a57bbf937770672a50,character/motion/lobby_action/pl_la_2014_subject_f_cam.ice,f8\8f175c0edd84621e6d8c3eeb90fdc3,character/motion/lobby_action/pl_la_2014_subject_f_caf.ice,0d\0cd0345b5cbe1b15aeb443a2a05fdd,character/motion/lobby_action/pl_la_2014_subject_f_base.ice,3d\4f640d23ff4d664c2b29aa62b34093,character/motion/lobby_action/pl_la_2014_subject_f_vfx.ice,fc\91eb0049b8859bf21ba4d9c86a192a,
バウンサーポーズ,Bouncer Pose,bouncerpose,character/motion/lobby_action/pl_la_2093_bouncer_m_std.ice,c0\af0c946581eb8fcdfa09f3be07a5f0,character/motion/lobby_action/pl_la_2093_bouncer_m_cam.ice,fe\8d2fcfb37c9cde4d2c95580fccfda4,character/motion/lobby_action/pl_la_2093_bouncer_m_caf.ice,7e\7e9b8c839094ed39d5e72d9858fd56,character/motion/lobby_action/pl_la_2093_bouncer_m_base.ice,f0\5991944746cd224398670cef71f1bf,character/motion/lobby_action/,,
バウンサーポーズ,Bouncer Pose,,character/motion/lobby_action/pl_la_2093_bouncer_f_std.ice,ab\ad36aaee991423311b4924a08ae795,character/motion/lobby_action/pl_la_2093_bouncer_f_cam.ice,90\01cf10eb966e74a01e84d121fe7ca5,character/motion/lobby_action/pl_la_2093_bouncer_f_caf.ice,62\e63ae8ad342d2b9e77bd15787cbe29,character/motion/lobby_action/pl_la_2093_bouncer_f_base.ice,60\6825c165d391771f30fd94157263a7,character/motion/lobby_action/,,
アロハ,Aloha,aloha_l,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_m_std.ice,d4\0b4ea59dfbd104d547df64129f90c2,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_m_cam.ice,e9\bb75612c8b7609d7e29a7c96948a05,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_m_caf.ice,a3\c484db4777edab1fc3ea20ee6bc626,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_m_base.ice,0f\398b16ce0a3425deb84ca9ff6add0f,character/motion/lobby_action/,,Male
アロハ,Aloha,,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_f_std.ice,58\8b1b0b0e73daf48d55849981f95e19,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_f_cam.ice,b0\f5c0d56b7041cba621671779e1c203,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_f_caf.ice,cd\bb46b5eaab64d118199b3e499ce800,character/motion/lobby_action/pl_la_2046_foyakoyustand_l_f_base.ice,30\dd53f30650c3a66d5a882abb8fe1a1,character/motion/lobby_action/,,Female
アロハ,Aloha,aloha_r,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_m_std.ice,50\34eddea695da08ae4ff65f4be3e6b9,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_m_cam.ice,81\22b01444abcd2e09445f12658dab25,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_m_caf.ice,9b\df748b5321b6fc86fa85b26a57cd59,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_m_base.ice,47\a8429b7920b271af434158b280e111,character/motion/lobby_action/,,Male
アロハ,Aloha,,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_f_std.ice,42\df75f285b743a358683f92878034a7,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_f_cam.ice,25\eeac7267e9c1a449e6047154ac105b,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_f_caf.ice,ca\9fba152fcb34b083ba6424ddd1ea7a,character/motion/lobby_action/pl_la_2046_foyakoyustand_r_f_base.ice,b7\2e470d399be85adc10a298c2fa4eb7,character/motion/lobby_action/,,Female
ロックユー,Sign of the Horns,rockyou_l,character/motion/lobby_action/pl_la_2047_fhitokostand_l_m_std.ice,cd\ebb9ea508df25abf2d933d8138d71d,character/motion/lobby_action/pl_la_2047_fhitokostand_l_m_cam.ice,9a\3cd4ac71219682959c0958622c87e3,character/motion/lobby_action/pl_la_2047_fhitokostand_l_m_caf.ice,62\4f246f387e6c116539e207ccf091ba,character/motion/lobby_action/pl_la_2047_fhitokostand_l_m_base.ice,3e\afadeb40beefd0c75112436df6cb0a,character/motion/lobby_action/,,Male
ロックユー,Sign of the Horns,,character/motion/lobby_action/pl_la_2047_fhitokostand_l_f_std.ice,cb\85b788895e52c196081381ba29983b,character/motion/lobby_action/pl_la_2047_fhitokostand_l_f_cam.ice,01\c519aaf5832b594de6e9f7f39c8a04,character/motion/lobby_action/pl_la_2047_fhitokostand_l_f_caf.ice,d5\3fb1ee60b79e2670435cc44800bb1b,character/motion/lobby_action/pl_la_2047_fhitokostand_l_f_base.ice,8a\022e1930669d90cebbbd12e2ff4208,character/motion/lobby_action/,,Female
ロックユー,Sign of the Horns,rockyou_r,character/motion/lobby_action/pl_la_2047_fhitokostand_r_m_std.ice,08\5c504d789e0387d1631f409e90688c,character/motion/lobby_action/pl_la_2047_fhitokostand_r_m_cam.ice,37\b842d3ed03f5b0215d5513c046c635,character/motion/lobby_action/pl_la_2047_fhitokostand_r_m_caf.ice,b7\e0533a18969c75ceeadffb0cb027bd,character/motion/lobby_action/pl_la_2047_fhitokostand_r_m_base.ice,bc\c129d2a863ab85ce9bd6bd9710bbe0,character/motion/lobby_action/,,Male
ロックユー,Sign of the Horns,,character/motion/lobby_action/pl_la_2047_fhitokostand_r_f_std.ice,62\529e3f48faefc73ce1369c095a78b4,character/motion/lobby_action/pl_la_2047_fhitokostand_r_f_cam.ice,77\8cc1e46cb8570d12f79d8e54ae98fb,character/motion/lobby_action/pl_la_2047_fhitokostand_r_f_caf.ice,fc\333959d8a3e109bbe20579b5500d0c,character/motion/lobby_action/pl_la_2047_fhitokostand_r_f_base.ice,a0\f2be8ddf9058502207540ae042b727,character/motion/lobby_action/,,Female
フィンガーハート,Mini Heart,fingerheart_l,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_m_std.ice,aa\648c2865551f8389718f7402bcbfec,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_m_cam.ice,51\d3f4e5abdf598dc892e7d448846e75,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_m_caf.ice,19\5f2bf3da21f6e8b00ea27b26fe6e48,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_m_base.ice,d1\60fbf114b4737a96d0da6d7bed2568,character/motion/lobby_action/,,Male
フィンガーハート,Mini Heart,,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_f_std.ice,81\6187f5e9e65308d4f41963e77c3902,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_f_cam.ice,a2\72dc0bffb066f190ccb8fa771af773,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_f_caf.ice,fc\a67aa4720fb4d0bc349b9f9b02c249,character/motion/lobby_action/pl_la_2048_fhitooyacross_l_f_base.ice,e9\00a4e0758bd328d474a9525dc6e474,character/motion/lobby_action/,,Female
フィンガーハート,Mini Heart,fingerheart_r,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_m_std.ice,00\7ae57bf5a27c15ac505df24d342f36,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_m_cam.ice,f0\69f03c14aaf17451de42de299536ab,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_m_caf.ice,6e\cc4e8bf17df65b6021ec04f9bab65a,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_m_base.ice,03\1b3568968ad91cf54e321f53c1076a,character/motion/lobby_action/,,Male
フィンガーハート,Mini Heart,,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_f_std.ice,02\4b87518ba4996881845831ab60f6c1,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_f_cam.ice,30\ecff0a8aab8def0fe6114be5168202,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_f_caf.ice,9c\c2d16f176efe20748a0ae159770d85,character/motion/lobby_action/pl_la_2048_fhitooyacross_r_f_base.ice,df\6b7b3f65815dcd6a49d24c876b200c,character/motion/lobby_action/,,Female
かぎ爪２,Finger Claws 2,claw2_l,character/motion/lobby_action/pl_la_2049_fkagitsume_l_m_std.ice,e7\32894605e7c82b3f37d21c3e91fc03,character/motion/lobby_action/pl_la_2049_fkagitsume_l_m_cam.ice,57\22ff2dc685de288cb682bb7b6d820f,character/motion/lobby_action/pl_la_2049_fkagitsume_l_m_caf.ice,7d\b7a95440009ee7e4d67980f9a2c3e8,character/motion/lobby_action/pl_la_2049_fkagitsume_l_m_base.ice,92\71b75d0c6099ed50a2101014007e75,character/motion/lobby_action/,,Male
かぎ爪２,Finger Claws 2,,character/motion/lobby_action/pl_la_2049_fkagitsume_l_f_std.ice,d0\c40a7279186004741407ba490eafe5,character/motion/lobby_action/pl_la_2049_fkagitsume_l_f_cam.ice,ad\20405553dd88628c0db57a35e7a147,character/motion/lobby_action/pl_la_2049_fkagitsume_l_f_caf.ice,b8\1a53a566c5b8228769a5da5d9c4bc8,character/motion/lobby_action/pl_la_2049_fkagitsume_l_f_base.ice,34\72cabbbfb8e487bd60c403aaf44b52,character/motion/lobby_action/,,Female
